year,keyword,date,value
2017,craigslist,2017-03-26,29
2017,craigslist,2017-02-19,28
2017,weather,2017-12-31,100
2017,weather,2017-12-24,81
2017,weather,2017-06-18,80
2017,nbc news,2017-10-01,1
2017,nbc news,2017-11-26,1
2017,nbc news,2017-01-01,0
2017,isPartial.9,2017-01-01,False
2017,isPartial.9,2017-01-08,False
2017,isPartial.9,2017-01-15,False
2018,date,2018-12-30,2018-12-30 00:00:00
2018,date,2018-12-23,2018-12-23 00:00:00
2018,date,2018-12-16,2018-12-16 00:00:00
2018,kavanaugh,2018-09-23,56
2018,kavanaugh,2018-09-30,46
2018,kavanaugh,2018-10-07,13
2018,hurricane florence,2018-09-09,100
2018,hurricane florence,2018-09-16,11
2018,hurricane florence,2018-09-02,5
2018,fortnite,2018-07-08,68
2018,fortnite,2018-04-29,67
2018,fortnite,2018-07-22,67
2018,mollie tibbetts,2018-08-19,13
2018,mollie tibbetts,2018-08-05,4
2018,mollie tibbetts,2018-08-12,4
2018,michael cohen,2018-08-19,3
2018,michael cohen,2018-12-09,3
2018,michael cohen,2018-04-08,2
2018,avengers 4,2018-12-02,17
2018,avengers 4,2018-11-25,6
2018,avengers 4,2018-04-29,5
2018,anthony bourdain,2018-06-03,89
2018,anthony bourdain,2018-06-10,26
2018,anthony bourdain,2018-06-17,6
2018,dez bryant,2018-11-04,7
2018,dez bryant,2018-04-08,4
2018,dez bryant,2018-04-15,3
2018,black panther,2018-02-18,91
2018,black panther,2018-02-11,64
2018,black panther,2018-02-25,46
2018,kate spade,2018-06-03,100
2018,kate spade,2018-06-10,10
2018,kate spade,2018-06-17,5
2018,isPartial.1,2017-12-31,False
2018,isPartial.1,2018-01-07,False
2018,isPartial.1,2018-01-14,False
2018,world cup 2018,2018-06-24,100
2018,world cup 2018,2018-07-01,90
2018,world cup 2018,2018-06-17,86
2018,cohen,2018-07-22,3
2018,cohen,2018-08-19,3
2018,cohen,2018-12-09,3
2018,xxxtentacion,2018-06-17,51
2018,xxxtentacion,2018-06-24,7
2018,xxxtentacion,2018-07-01,4
2018,le'veon bell,2018-09-02,2
2018,le'veon bell,2018-09-09,1
2018,le'veon bell,2018-09-16,1
2018,government shutdown,2018-01-14,7
2018,government shutdown,2018-01-21,7
2018,government shutdown,2018-12-30,4
2018,isPartial.2,2017-12-31,False
2018,isPartial.2,2018-01-07,False
2018,isPartial.2,2018-01-14,False
2018,mega millions,2018-10-21,91
2018,mega millions,2018-10-14,69
2018,mega millions,2017-12-31,18
2018,red dead redemption 2,2018-10-28,43
2018,red dead redemption 2,2018-10-21,34
2018,red dead redemption 2,2018-11-04,29
2018,meghan markle,2018-05-13,100
2018,meghan markle,2018-05-20,76
2018,meghan markle,2018-10-14,17
2018,kawhi leonard,2018-07-01,7
2018,kawhi leonard,2018-07-15,7
2018,kawhi leonard,2018-06-10,3
2018,cryptocurrency,2017-12-31,12
2018,cryptocurrency,2018-01-07,12
2018,cryptocurrency,2018-01-14,12
2018,isPartial.3,2017-12-31,False
2018,isPartial.3,2018-01-07,False
2018,isPartial.3,2018-01-14,False
2018,manafort,2018-08-19,9
2018,manafort,2018-08-12,5
2018,manafort,2018-07-29,3
2018,avengers infinity war,2018-04-29,68
2018,avengers infinity war,2018-04-22,63
2018,avengers infinity war,2018-05-06,31
2018,mueller,2018-12-02,5
2018,mueller,2018-01-21,4
2018,mueller,2018-03-18,4
2018,demi lovato,2018-07-22,100
2018,demi lovato,2018-07-29,26
2018,demi lovato,2018-08-05,11
2018,dow jones,2018-02-04,31
2018,dow jones,2018-12-23,21
2018,dow jones,2018-12-16,18
2018,isPartial.4,2017-12-31,False
2018,isPartial.4,2018-01-07,False
2018,isPartial.4,2018-01-14,False
2018,mueller investigation,2018-01-21,1
2018,mueller investigation,2018-01-28,1
2018,mueller investigation,2018-03-11,1
2018,ripple,2017-12-31,66
2018,ripple,2018-01-07,50
2018,ripple,2018-01-14,30
2018,tsunami,2018-12-23,100
2018,tsunami,2018-09-30,42
2018,tsunami,2018-09-23,27
2018,hawaii,2018-05-06,67
2018,hawaii,2018-08-19,65
2018,hawaii,2018-05-13,56
2018,kanye west,2018-04-29,39
2018,kanye west,2018-04-22,29
2018,kanye west,2018-05-27,19
2018,isPartial.5,2017-12-31,False
2018,isPartial.5,2018-01-07,False
2018,isPartial.5,2018-01-14,False
2018,robert mueller,2018-01-21,3
2018,robert mueller,2018-03-18,2
2018,robert mueller,2018-04-08,2
2018,weather radar,2018-09-02,41
2018,weather radar,2018-05-27,39
2018,weather radar,2018-10-07,39
2018,khloe kardashian,2018-04-08,95
2018,khloe kardashian,2018-04-15,42
2018,khloe kardashian,2018-04-22,19
2018,kingdom hearts 3,2018-06-10,8
2018,kingdom hearts 3,2018-12-16,5
2018,kingdom hearts 3,2018-12-30,4
2018,lebron james,2018-07-01,100
2018,lebron james,2018-06-03,55
2018,lebron james,2018-05-27,51
2018,isPartial.6,2017-12-31,False
2018,isPartial.6,2018-01-07,False
2018,isPartial.6,2018-01-14,False
2018,local news,2018-09-09,3
2018,local news,2017-12-31,2
2018,local news,2018-01-07,2
2018,shooting,2018-02-11,100
2018,shooting,2018-05-13,44
2018,shooting,2018-02-18,43
2018,lakers,2018-07-01,41
2018,lakers,2018-10-21,28
2018,lakers,2018-12-23,23
2018,stock market,2018-02-04,22
2018,stock market,2018-12-23,12
2018,stock market,2018-10-07,10
2018,markelle fultz,2018-03-25,2
2018,markelle fultz,2018-01-14,1
2018,markelle fultz,2018-04-08,1
2018,isPartial.7,2017-12-31,False
2018,isPartial.7,2018-01-07,False
2018,isPartial.7,2018-01-14,False
2018,cleveland browns,2018-09-16,9
2018,cleveland browns,2018-09-09,5
2018,cleveland browns,2018-09-30,4
2018,ford,2018-09-23,100
2018,ford,2018-09-16,87
2018,ford,2018-09-30,87
2018,nafta,2018-08-26,4
2018,nafta,2018-09-30,4
2018,nafta,2018-09-02,2
2018,eagles,2018-02-04,69
2018,eagles,2018-01-21,48
2018,eagles,2018-01-14,22
2018,nicki minaj,2018-09-09,17
2018,nicki minaj,2018-09-02,16
2018,nicki minaj,2018-08-19,15
2018,isPartial.8,2017-12-31,False
2018,isPartial.8,2018-01-07,False
2018,isPartial.8,2018-01-14,False
2018,red sox,2018-10-21,15
2018,red sox,2018-10-14,13
2018,red sox,2018-10-28,11
2018,kate middleton,2018-04-22,9
2018,kate middleton,2018-05-13,6
2018,kate middleton,2018-05-20,6
2018,netflix,2018-12-23,62
2018,netflix,2018-12-30,60
2018,netflix,2017-12-31,44
2018,instagram,2018-12-30,100
2018,instagram,2018-12-23,91
2018,instagram,2017-12-31,90
2018,news today,2018-05-13,6
2018,news today,2018-07-01,6
2018,news today,2018-07-08,6
2018,isPartial.9,2017-12-31,False
2018,isPartial.9,2018-01-07,False
2018,isPartial.9,2018-01-14,False
2019,date,2019-12-29,2019-12-29 00:00:00
2019,date,2019-12-22,2019-12-22 00:00:00
2019,date,2019-12-15,2019-12-15 00:00:00
2019,hurricane dorian,2019-09-01,100
2019,hurricane dorian,2019-08-25,45
2019,hurricane dorian,2019-09-08,5
2019,jussie smollett,2019-02-17,29
2019,jussie smollett,2019-01-27,13
2019,jussie smollett,2019-03-24,9
2019,notre dame fire,2019-04-14,27
2019,notre dame fire,2019-04-21,1
2019,notre dame fire,2018-12-30,0
2019,mad cow,2018-12-30,0
2019,mad cow,2019-01-06,0
2019,mad cow,2019-01-13,0
2019,avengers endgame,2019-04-21,90
2019,avengers endgame,2019-04-28,69
2019,avengers endgame,2019-05-05,30
2019,pete buttigieg,2019-04-14,2
2019,pete buttigieg,2019-03-17,1
2019,pete buttigieg,2019-03-24,1
2019,lori loughlin,2019-03-10,12
2019,lori loughlin,2019-03-17,3
2019,lori loughlin,2019-04-07,2
2019,cameron boyce,2019-07-07,100
2019,cameron boyce,2019-07-14,5
2019,cameron boyce,2019-07-28,3
2019,andrew yang,2019-03-10,1
2019,andrew yang,2019-06-23,1
2019,andrew yang,2019-07-28,1
2019,disney plus,2019-11-10,39
2019,disney plus,2019-11-17,20
2019,disney plus,2019-11-24,12
2019,isPartial.1,2018-12-30,False
2019,isPartial.1,2019-01-06,False
2019,isPartial.1,2019-01-13,False
2019,mad cow disease,2018-12-30,0
2019,mad cow disease,2019-01-06,0
2019,mad cow disease,2019-01-13,0
2019,nipsey hussle,2019-03-31,100
2019,nipsey hussle,2019-04-07,33
2019,nipsey hussle,2019-04-14,10
2019,jeffrey epstein,2019-08-11,24
2019,jeffrey epstein,2019-08-04,19
2019,jeffrey epstein,2019-07-07,15
2019,antonio brown,2019-09-08,33
2019,antonio brown,2019-09-01,30
2019,antonio brown,2019-09-15,26
2019,mueller report,2019-04-14,11
2019,mueller report,2019-03-24,6
2019,mueller report,2019-03-17,4
2019,isPartial.2,2018-12-30,False
2019,isPartial.2,2019-01-06,False
2019,isPartial.2,2019-01-13,False
