event_start,event_end,event_type,headline,category
2017-09-05,2017-09-06,crisis,sessions,General / Breaking News
2017-09-05,2017-09-06,crisis,immigration,General / Breaking News
2017-09-06,2017-09-11,crisis,weather,Natural Disasters & Climate
2017-09-06,2017-09-06,crisis,mexico,General / Breaking News
2017-09-07,2017-09-07,crisis,chris cornell,General / Breaking News
2017-09-07,2017-09-07,crisis,betsy devos,General / Breaking News
2017-09-07,2017-09-07,crisis,iphone 8,Technology & AI
2017-09-08,2017-09-08,crisis,patriots,General / Breaking News
2017-09-08,2017-09-08,crisis,miss universe,General / Breaking News
2017-09-08,2017-09-08,crisis,mexico,General / Breaking News
2017-09-11,2017-09-11,geopolitics,melania trump,Politics & Government
2017-09-11,2017-09-15,crisis,iphone 8,Technology & AI
2017-09-13,2017-09-13,crisis,toshiba,General / Breaking News
2017-09-14,2017-09-14,geopolitics,trump twitter,Politics & Government
2017-09-15,2017-09-15,crisis,korea,General / Breaking News
2017-09-15,2017-09-15,geopolitics,north korea,"War, Geopolitics & Terrorism"
2017-09-18,2017-09-18,crisis,michael t. flynn,General / Breaking News
2017-09-19,2017-09-20,crisis,iphone 8,Technology & AI
2017-09-20,2017-09-20,crisis,toshiba,General / Breaking News
2017-09-20,2017-09-21,crisis,mexico,General / Breaking News
2017-09-20,2017-09-20,crisis,craigslist,Technology & AI
2017-09-21,2017-09-22,crisis,aaron hernandez,General / Breaking News
2017-09-22,2017-09-25,crisis,iphone 8,Technology & AI
2017-09-22,2017-09-25,crisis,korea,General / Breaking News
2017-09-22,2017-09-26,crisis,patriots,General / Breaking News
2017-09-22,2017-09-25,geopolitics,north korea,"War, Geopolitics & Terrorism"
2017-09-22,2017-09-22,crisis,betsy devos,General / Breaking News
2017-09-25,2017-09-25,crisis,carmelo anthony,General / Breaking News
2017-09-26,2017-09-26,crisis,craigslist,Technology & AI
2017-09-27,2017-09-27,geopolitics,trump news,Politics & Government
2017-09-27,2017-09-28,crisis,toshiba,General / Breaking News
2017-09-29,2017-09-29,crisis,betsy devos,General / Breaking News
2017-09-29,2017-09-29,macro,litecoin,Crypto & Digital Assets
2017-10-02,2017-10-05,geopolitics,melania trump,Politics & Government
2017-10-02,2017-10-02,crisis,mariah carey,General / Breaking News
2017-10-03,2017-10-04,crisis,hurricane harvey,Natural Disasters & Climate
2017-10-04,2017-10-04,crisis,iphone 8,Technology & AI
2017-10-04,2017-10-04,crisis,nbc news,General / Breaking News
2017-10-05,2017-10-06,crisis,chris cornell,General / Breaking News
2017-10-06,2017-10-06,crisis,hurricane harvey,Natural Disasters & Climate
2017-10-09,2017-10-09,crisis,eminem,General / Breaking News
2017-10-09,2017-10-12,crisis,meryl streep,General / Breaking News
2017-10-09,2017-10-09,geopolitics,golden globe award,"War, Geopolitics & Terrorism"
2017-10-11,2017-10-12,crisis,eminem,General / Breaking News
2017-10-11,2017-10-12,crisis,nbc news,General / Breaking News
2017-10-13,2017-10-13,crisis,hurricane irma,Natural Disasters & Climate
2017-10-13,2017-10-13,crisis,toshiba,General / Breaking News
2017-10-16,2017-10-16,crisis,dragon ball super,General / Breaking News
2017-10-16,2017-10-16,geopolitics,trump impeachment,Politics & Government
2017-10-17,2017-10-17,crisis,carmelo anthony,General / Breaking News
2017-10-18,2017-10-19,crisis,celtics,General / Breaking News
2017-10-18,2017-10-18,crisis,amazon,General / Breaking News
2017-10-18,2017-10-18,crisis,hurricane harvey,Natural Disasters & Climate
2017-10-19,2017-10-19,crisis,eminem,General / Breaking News
2017-10-19,2017-10-20,crisis,iphone 8,Technology & AI
2017-10-20,2017-10-20,geopolitics,trump impeachment,Politics & Government
2017-10-20,2017-10-23,crisis,mariah carey,General / Breaking News
2017-10-23,2017-10-23,crisis,dragon ball super,General / Breaking News
2017-10-25,2017-10-26,crisis,eminem,General / Breaking News
2017-10-25,2017-10-25,geopolitics,trump news,Politics & Government
2017-10-26,2017-10-26,crisis,abc news,General / Breaking News
2017-10-27,2017-10-27,geopolitics,trump impeachment,Politics & Government
2017-10-27,2017-10-27,crisis,amazon,General / Breaking News
2017-10-27,2017-10-27,crisis,iphone 8,Technology & AI
2017-10-30,2017-10-30,crisis,mariah carey,General / Breaking News
2017-10-30,2017-10-30,crisis,eminem,General / Breaking News
2017-10-30,2017-10-30,geopolitics,trump russia,Politics & Government
2017-10-31,2017-11-03,crisis,iphone 8,Technology & AI
2017-11-02,2017-11-02,crisis,news today,General / Breaking News
2017-11-02,2017-11-02,crisis,hurricane harvey,Natural Disasters & Climate
2017-11-03,2017-11-07,geopolitics,trump impeachment,Politics & Government
2017-11-03,2017-11-03,geopolitics,trump twitter,Politics & Government
2017-11-06,2017-11-08,crisis,mariah carey,General / Breaking News
2017-11-06,2017-11-06,geopolitics,melania trump,Politics & Government
2017-11-06,2017-11-06,crisis,abc news,General / Breaking News
2017-11-07,2017-11-08,crisis,korea,General / Breaking News
2017-11-08,2017-11-08,geopolitics,melania trump,Politics & Government
2017-11-09,2017-11-13,crisis,eminem,General / Breaking News
2017-11-09,2017-11-10,geopolitics,trump impeachment,Politics & Government
2017-11-09,2017-11-09,geopolitics,trump news,Politics & Government
2017-11-09,2017-11-10,crisis,aaron hernandez,General / Breaking News
2017-11-10,2017-11-10,geopolitics,golden globe award,"War, Geopolitics & Terrorism"
2017-11-10,2017-11-14,crisis,washington post,General / Breaking News
2017-11-10,2017-11-10,crisis,miss universe,General / Breaking News
2017-11-14,2017-11-14,crisis,miss universe,General / Breaking News
2017-11-14,2017-11-14,crisis,sessions,General / Breaking News
2017-11-16,2017-11-16,crisis,mariah carey,General / Breaking News
2017-11-17,2017-11-17,crisis,abc news,General / Breaking News
2017-11-17,2017-11-17,geopolitics,trump impeachment,Politics & Government
2017-11-17,2017-11-17,crisis,celtics,General / Breaking News
2017-11-17,2017-11-20,crisis,dragon ball super,General / Breaking News
2017-11-20,2017-11-20,crisis,patriots,General / Breaking News
2017-11-20,2017-11-20,geopolitics,trump news,Politics & Government
2017-11-21,2017-11-21,crisis,washington post,General / Breaking News
2017-11-21,2017-11-21,crisis,celtics,General / Breaking News
2017-11-21,2017-11-21,macro,bitcoin,Crypto & Digital Assets
2017-11-22,2017-11-22,crisis,dragon ball super,General / Breaking News
2017-11-22,2017-11-22,geopolitics,trump twitter,Politics & Government
2017-11-24,2017-11-27,crisis,amazon,General / Breaking News
2017-11-27,2017-11-27,crisis,dragon ball super,General / Breaking News
2017-11-27,2017-11-27,macro,ethereum,Crypto & Digital Assets
2017-11-27,2017-11-27,crisis,abc news,General / Breaking News
2017-11-27,2017-11-27,macro,bitcoin,Crypto & Digital Assets
2017-11-27,2017-11-27,crisis,miss universe,General / Breaking News
2017-11-27,2017-11-27,crisis,nintendo switch,Technology & AI
2017-11-27,2017-11-27,crisis,nintendo,Technology & AI
2017-11-28,2017-11-29,crisis,chris cornell,General / Breaking News
2017-11-28,2017-11-29,crisis,eminem,General / Breaking News
2017-11-28,2017-11-29,macro,litecoin,Crypto & Digital Assets
2017-11-28,2017-11-28,crisis,mariah carey,General / Breaking News
2017-11-28,2017-11-28,crisis,michael t. flynn,General / Breaking News
